"","id","q","c","symptomatic_fraction","socialDistancing_other","p_reduced","LogLikelihood","R0","i_chain","loc","S.c","E.c","Is.c","Ia.c","Hs.c","Hc.c","D.c","R.c","S.c.pos","E.c.pos","Is.c.pos","Ia.c.pos","R.c.pos","S.a","E.a","Is.a","Ia.a","Hs.a","Hc.a","D.a","R.a","S.a.pos","E.a.pos","Is.a.pos","Ia.a.pos","R.a.pos","S.rc","E.rc","Is.rc","Ia.rc","Hs.rc","Hc.rc","D.rc","R.rc","S.rc.pos","E.rc.pos","Is.rc.pos","Ia.rc.pos","R.rc.pos","S.fc","E.fc","Is.fc","Ia.fc","Hs.fc","Hc.fc","D.fc","R.fc","S.fc.pos","E.fc.pos","Is.fc.pos","Ia.fc.pos","R.fc.pos","S.e","E.e","Is.e","Ia.e","Hs.e","Hc.e","D.e","R.e","S.e.pos","E.e.pos","Is.e.pos","Ia.e.pos","R.e.pos","H.pos"
"280","2",0.050626,0.777974,0.118251,0.286552,0.003058,-335832.517099,3.199045,4,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
"281","2",0.048105,0.85384,0.176074,0.230648,0.102656,-338695.794478,3.165375,5,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
"282","2",0.049246,0.852255,0.237034,0.016757,0.00636,-341925.973734,3.376011,5,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
"283","2",0.050452,0.809052,0.08991,0.006033,0.885828,-334501.544743,3.123447,5,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
"284","2",0.048354,0.878919,0.24374,0.101882,0.00638,-342297.882417,3.329523,5,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
"285","2",0.048955,0.727748,0.210481,0.115899,0.023092,-340490.014926,3.297401,5,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
"286","2",0.050621,0.803716,0.174594,0.083335,0.001626,-338615.305914,3.327542,5,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
"287","2",0.050562,0.502191,0.177557,0.00202,0.174411,-338766.932395,3.330439,5,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
"288","2",0.048386,0.832499,0.193454,0.11897,0.087541,-339593.306869,3.221856,5,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
"289","2",0.050045,0.754499,0.125212,0.250488,0.009773,-336167.391943,3.178081,5,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
